"Report Written:","Monday, March 01, 2021"
"Design Path:","C:\Users\Alex\Documents\personal-projects\IN-18_VFD_tuning_fork_clock\PCB-design\vfd-clock.pcb"
"Design Title:",
"Created:","25/02/2021 23:15:21"
"Last Saved:","28/02/2021 22:50:54"
"Editing Time:","4288 min"
"Units:","thou (precision 0)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"D1","1","1N4148","","DIOAD1165W56L425D185","Nexperia","1N4148","","","1N4148 Switching Diode, 300mA 100V, 2-Pin DO-35"
"Q1","1","2N2222A","","CENTRAL_TO18","Central Semiconductor","2N2222A","","","Bipolar Transistors - BJT NPN Gen Pur SS"
"Q2","1","2N2222A","","CENTRAL_TO18","Central Semiconductor","2N2222A","","","Bipolar Transistors - BJT NPN Gen Pur SS"
"U2","1","40v step-up","","USER","","","","",""
"S1","1","1825910-6","","18259106","TE Connectivity","1825910-6","","","FSM4JH=6MM TACT SWITCH, HIGH TEMP"
"S2","1","1825910-6","","18259106","TE Connectivity","1825910-6","","","FSM4JH=6MM TACT SWITCH, HIGH TEMP"
"J1","1","0476420001","","0476420001","Molex","0476420001","","","USB Connectors MICRO USB B REC RA SMT MID"
"IC2","1","ATTINY85-20PU","","DIP781W56P254L950H533Q8N","Microchip","ATTINY85-20PU","","","MICROCHIP - ATTINY85-20PU - MICROCONTROLLER MCU, 8 BIT, ATTINY, 20MHZ, DIP-8"
"C2","1","C322C473K1R5TA","","C322C473K1R5TA","Kemet","C322C473K1R5TA","","","KEMET 47nF Multilayer Ceramic Capacitor MLCC 100V dc +/-10% Through Hole C322C473K1R5TA"
"C3","1","C322C473K1R5TA","","C322C473K1R5TA","Kemet","C322C473K1R5TA","","","KEMET 47nF Multilayer Ceramic Capacitor MLCC 100V dc +/-10% Through Hole C322C473K1R5TA"
"R1","1","CBT25J1K0","","RESAD1590W65L630D240","TE Connectivity","CBT25J1K0","","","TE Connectivity Axial Carbon Resistor 1k +/-5% 0.25W -700  +400ppm/C"
"R7","1","CBT25J1K0","","RESAD1590W65L630D240","TE Connectivity","CBT25J1K0","","","TE Connectivity Axial Carbon Resistor 1k +/-5% 0.25W -700  +400ppm/C"
